,Name of movie,Year of release,Watchtime,Movie Rating,MetaScore,Votes,Gross,Description,Director,Stars
218,O Império Contra-Ataca,1980,124,8.7,82,"1,258,937",$290.48M,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
219,Um Estranho no Ninho,1975,133,8.7,84,"987,591",$112.00M,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']"
220,Top Gun: Maverick,2022,130,8.6,78,"182,706",#43,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground",Joseph Kosinski,"['Tom Cruise', 'Jennifer Connelly', 'Miles Teller', 'Val Kilmer']"
221,Interestelar,2014,169,8.6,74,"1,743,778",$188.02M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']"
222,Cidade de Deus,2002,130,8.6,79,"743,975",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Directors:Fernando Meirelles, Kátia Lund","['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele', 'Phellipe Haagensen']"
223,A Viagem de Chihiro,2001,125,8.6,96,"737,425",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi']"
224,O Resgate do Soldado Ryan,1998,169,8.6,91,"1,354,360",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']"
225,À Espera de um Milagre,1999,189,8.6,61,"1,264,642",$136.80M,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']"
226,A Vida é Bela,1997,116,8.6,59,"679,593",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']"
227,Seven: Os Sete Crimes Capitais,1995,127,8.6,65,"1,596,916",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']"
